question_id,company_role_id,category,difficulty,question,answer,explanation,tags,frequency
11,1,DSA,Easy,Optimal Solution for 'Balanced Binary Tree': Determine if a binary tree is height-balanced (heights of subtrees differ by at most 1).,"Compute node heights recursively. Return -1 if any subtree is unbalanced, avoiding redundant calculations.","Time Complexity: O(N), Space Complexity: O(H) for recursion stack.","['Trees', 'DFS']",Very Common
12,1,DSA,Easy,Optimal Solution for 'Linked List Cycle': Determine if a linked list has a cycle in it.,"Use Floyd's tortoise and hare algorithm with slow and fast pointers. If they meet, there is a cycle.","Time Complexity: O(N), Space Complexity: O(1) pointer checks.","['Linked List', 'Two Pointers']",Very Common
13,1,DSA,Easy,Optimal Solution for 'Implement Queue using Stacks': Implement a FIFO queue using only two stacks.,"Push elements to input stack. Pop from output stack; if empty, transfer all from input to output.",Amortized O(1) for pop and peek. Space Complexity: O(N).,"['Stack', 'Queue']",Common
14,1,DSA,Easy,Optimal Solution for 'First Bad Version': Find the first bad version in a series using an API check isBadVersion(version) with minimal API calls.,Use binary search to find the boundary where versions change from good to bad.,"Time Complexity: O(log N), Space Complexity: O(1).",['Binary Search'],Common
15,1,DSA,Easy,Optimal Solution for 'Ransom Note': Determine if a ransom note string can be constructed from characters in a magazine string.,Count characters in the magazine and decrement them for characters in the ransom note.,"Time Complexity: O(N + M), Space Complexity: O(1) if using 26-size array.","['Strings', 'Hash Map']",Common
16,1,DSA,Easy,Optimal Solution for 'Climbing Stairs': Find the number of distinct ways to climb to the top of a staircase of N steps if you can take 1 or 2 steps.,Use dynamic programming where ways(N) = ways(N-1) + ways(N-2).,"Time Complexity: O(N), Space Complexity: O(1) by keeping track of the last two values.",['Dynamic Programming'],Very Common
17,1,DSA,Easy,"Optimal Solution for 'Longest Palindrome': Given a string s, return the length of the longest palindrome that can be built with those letters.","Count character frequencies. Add even frequencies to length, and add 1 at the end if there is any odd frequency.","Time Complexity: O(N), Space Complexity: O(1) for character set storage.","['Strings', 'Hash Map']",Common
18,1,DSA,Easy,Optimal Solution for 'Reverse Linked List': Reverse a singly linked list in-place.,"Iterate through the list, changing curr.next to point to the prev node, maintaining a next pointer.","Time Complexity: O(N), Space Complexity: O(1).",['Linked List'],Very Common
19,1,DSA,Easy,Optimal Solution for 'Majority Element': Find the element that appears more than N/2 times in an array.,Use Boyer-Moore Voting Algorithm to find the candidate with positive counter balance.,"Time Complexity: O(N), Space Complexity: O(1).","['Arrays', 'Sorting']",Common
20,1,DSA,Easy,"Optimal Solution for 'Add Binary': Given two binary strings, return their sum as a binary string.","Use two pointers starting from the ends of the strings, adding digits along with carry.","Time Complexity: O(max(N, M)), Space Complexity: O(max(N, M)) for result.","['Strings', 'Math']",Common
21,1,DSA,Easy,Optimal Solution for 'Diameter of Binary Tree': Find the length of the longest path between any two nodes in a binary tree.,Calculate height of left and right subtrees recursively. Diameter at a node is left_height + right_height.,"Time Complexity: O(N), Space Complexity: O(H) recursion stack.","['Trees', 'DFS']",Common
22,1,DSA,Easy,Optimal Solution for 'Middle of the Linked List': Return the middle node of a singly linked list.,Use a slow pointer moving one step and a fast pointer moving two steps. Slow reaches middle when fast reaches end.,"Time Complexity: O(N), Space Complexity: O(1).","['Linked List', 'Two Pointers']",Common
23,1,DSA,Easy,Optimal Solution for 'Maximum Depth of Binary Tree': Find the maximum depth of a binary tree.,"Use recursive DFS where depth is 1 + max(depth(left), depth(right)).","Time Complexity: O(N), Space Complexity: O(H).","['Trees', 'DFS']",Very Common
24,1,DSA,Easy,Optimal Solution for 'Contains Duplicate': Return true if any value appears at least twice in an array.,"Use a hash set to track seen elements. If element already in set, return true.","Time Complexity: O(N), Space Complexity: O(N).","['Arrays', 'Hash Set']",Very Common
25,1,DSA,Medium,Optimal Solution for 'Maximum Subarray': Find the contiguous subarray with the largest sum (Kadane's Algorithm).,"Iterate through the array, maintaining current sum. Reset current sum to 0 if it becomes negative, and track max sum.","Time Complexity: O(N), Space Complexity: O(1).","['Arrays', 'Dynamic Programming']",Common
26,1,DSA,Medium,Optimal Solution for 'Insert Interval': Insert a new interval into a sorted list of non-overlapping intervals and merge if necessary.,"Add all intervals before new interval, merge overlapping intervals with new interval, and add remaining.","Time Complexity: O(N), Space Complexity: O(N) for output.",['Arrays'],Common
27,1,DSA,Medium,Optimal Solution for '01 Matrix': Find the distance of the nearest 0 for each cell in a binary matrix.,"Use BFS starting from all 0s simultaneously, updating neighbors with current distance + 1.","Time Complexity: O(R * C), Space Complexity: O(R * C) for queue.","['Graphs', 'BFS']",Common
28,1,DSA,Medium,"Optimal Solution for 'K Closest Points to Origin': Find the K closest points to the origin (0, 0) on a 2D plane.","Use a max heap of size K to keep track of closest points, or use Quickselect.","Time Complexity: O(N log K) with Max Heap, Space Complexity: O(K).","['Heap', 'Sorting']",Common
29,1,DSA,Medium,Optimal Solution for 'Longest Substring Without Repeating Characters': Find the length of the longest substring without repeating characters.,"Use sliding window with left and right pointers, and a hash set or map to store character indices.","Time Complexity: O(N), Space Complexity: O(min(N, M)) where M is character set size.","['Strings', 'Sliding Window']",Very Common
30,1,DSA,Medium,Optimal Solution for '3Sum': Find all unique triplets in an array that sum to zero.,"Sort the array, iterate and use two pointers for the remaining sum, skipping duplicates.",Time Complexity: O(N^2) due to nested loops. Space Complexity: O(1) excluding sorting.,"['Arrays', 'Two Pointers']",Very Common
31,1,DSA,Medium,Optimal Solution for 'Binary Tree Level Order Traversal': Return the level order traversal of its nodes' values.,"Use a queue for BFS, processing node levels by keeping track of queue size at each level.","Time Complexity: O(N), Space Complexity: O(N) for queue.","['Trees', 'BFS']",Very Common
32,1,DSA,Medium,Optimal Solution for 'Clone Graph': Return a deep copy of a connected undirected graph.,Use DFS or BFS with a hash map to map original nodes to their cloned counterparts.,"Time Complexity: O(V + E), Space Complexity: O(V) for map.","['Graphs', 'DFS', 'BFS']",Common
33,1,DSA,Medium,Optimal Solution for 'Evaluate Reverse Polish Notation': Evaluate the value of an arithmetic expression in Reverse Polish Notation (postfix).,Use a stack to store operands. Apply operators to the top two operands popped from stack.,"Time Complexity: O(N), Space Complexity: O(N).",['Stack'],Common
34,1,DSA,Medium,Optimal Solution for 'Course Schedule': Determine if you can finish all courses given pre-requisites.,Detect cycles in directed graph using Kahn's algorithm (BFS topological sort) or DFS.,"Time Complexity: O(V + E), Space Complexity: O(V + E).","['Graphs', 'Topological Sort']",Very Common
35,1,DSA,Medium,"Optimal Solution for 'Implement Trie (Prefix Tree)': Implement a trie with insert, search, and startsWith methods.",Use trie nodes containing an array of 26 children references and an isEndOfWord boolean flag.,Insert/Search: O(L) where L is word length. Space Complexity: O(Alphabet * N * L).,"['Design', 'Trie']",Common
36,1,DSA,Medium,Optimal Solution for 'Coin Change': Find the fewest number of coins that you need to make up a given amount.,"Use bottom-up Dynamic Programming tabulation. DP[i] = min(DP[i], DP[i - coin] + 1).",Time Complexity: O(N * C) where C is amount and N is coin count. Space Complexity: O(C).,['Dynamic Programming'],Very Common
37,1,DSA,Medium,Optimal Solution for 'Product of Array Except Self': Return an array output such that output[i] is equal to the product of all elements except nums[i] without division.,Calculate prefix products and suffix products and multiply them into the result array.,"Time Complexity: O(N), Space Complexity: O(1) excluding output.",['Arrays'],Very Common
38,1,DSA,Easy,"Optimal Solution for 'Min Stack': Design a stack that supports push, pop, top, and retrieving the minimum element in O(1) time.",Maintain a secondary stack that stores the minimum value seen so far corresponding to each element.,Time Complexity: O(1) for all operations. Space Complexity: O(N).,['Stack'],Common
39,1,DSA,Medium,Optimal Solution for 'Validate Binary Search Tree': Determine if a binary tree is a valid BST.,"Perform DFS, passing down minimum and maximum allowed range boundaries for each node.","Time Complexity: O(N), Space Complexity: O(H).","['Trees', 'DFS']",Very Common
40,1,DSA,Medium,"Optimal Solution for 'Number of Islands': Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands.","Iterate through cells. When land is found, increment island count and perform DFS/BFS to sink it.","Time Complexity: O(R * C), Space Complexity: O(R * C) worst case.","['Graphs', 'DFS', 'BFS']",Very Common
41,1,DSA,Medium,Optimal Solution for 'Rotting Oranges': Find the minimum time elapsed until all fresh oranges rot.,"Use multi-source BFS starting from all rotten oranges, updating adjacent fresh oranges level by level.","Time Complexity: O(R * C), Space Complexity: O(R * C).","['Graphs', 'BFS']",Common
42,1,DSA,Medium,Optimal Solution for 'Search in Rotated Sorted Array': Search for a target value in a rotated sorted array in O(log N) time.,"Use binary search. Identify which half of the divided array is sorted, and check if target lies in its bounds.","Time Complexity: O(log N), Space Complexity: O(1).",['Binary Search'],Very Common
43,1,DSA,Medium,Optimal Solution for 'Combination Sum': Find all unique combinations of candidates that sum up to target.,"Use backtracking, sorting candidates to prune recursive paths when sum exceeds target.","Time Complexity: O(2^T) where T is target, Space Complexity: O(T) recursion depth.",['Backtracking'],Common
44,1,DSA,Medium,"Optimal Solution for 'Permutations': Given an array nums of distinct integers, return all the possible permutations.",Use backtracking to swap elements or maintain a boolean array of used elements recursively.,"Time Complexity: O(N * N!), Space Complexity: O(N) stack.",['Backtracking'],Very Common
45,1,DSA,Medium,"Optimal Solution for 'Merge Intervals': Given an array of intervals, merge all overlapping intervals.","Sort the intervals by their start times, then iterate and merge overlapping ones with the last merged interval.","Time Complexity: O(N log N) due to sorting, Space Complexity: O(N) or O(1) depending on sorting implementation.",['Arrays'],Very Common
46,1,DSA,Medium,Optimal Solution for 'Lowest Common Ancestor of a Binary Tree': Find the lowest common ancestor (LCA) node of two given nodes in a binary tree.,"Recursively search left and right subtrees. If a node is found, return it. If both return non-null, current node is LCA.","Time Complexity: O(N), Space Complexity: O(H).","['Trees', 'Recursion']",Very Common
47,1,DSA,Medium,Optimal Solution for 'Time Based Key-Value Store': Design a time-based key-value store that supports multiple values for the same key at different timestamps.,"Use a hash map mapping keys to a list of (timestamp, value) pairs. Use binary search on timestamps for get().","Get: O(log N), Set: O(1). Space Complexity: O(N).","['Design', 'Binary Search']",Common
48,1,DSA,Medium,Optimal Solution for 'Accounts Merge': Merge accounts sharing common emails using Union-Find.,Map emails to accounts and use Disjoint Set Union (DSU) to group accounts sharing emails.,"Time Complexity: O(N log N) with path compression, Space: O(N).","['Graphs', 'Union Find']",Common
49,1,DSA,Medium,"Optimal Solution for 'Sort Colors': Sort an array of 0s, 1s, and 2s in-place (Dutch National Flag problem).","Maintain three pointers: low, mid, and high. Swap elements to partition 0s at start and 2s at end.","Time Complexity: O(N), Space Complexity: O(1).","['Two Pointers', 'Sorting']",Common
50,1,DSA,Medium,Optimal Solution for 'Word Break': Determine if a string s can be segmented into words from a dictionary.,Use 1D Dynamic Programming. DP[i] represents if s[0...i] is segmentable. DP[i] = DP[j] && s[j...i] in dict.,Time Complexity: O(N^2 * L) where L is max word length. Space: O(N).,['Dynamic Programming'],Common
51,1,DSA,Medium,Optimal Solution for 'Partition Equal Subset Sum': Determine if an array can be partitioned into two subsets with equal sum.,"Check if total sum is even, then solve 0/1 Knapsack problem for target = sum / 2 using 1D array DP.","Time Complexity: O(N * Sum), Space Complexity: O(Sum).",['Dynamic Programming'],Common
52,1,DSA,Medium,Optimal Solution for 'String to Integer (atoi)': Implement the atoi function which converts a string to an integer.,"Discard whitespace, handle sign, read digits, handle integer overflow boundaries, and convert.","Time Complexity: O(N), Space Complexity: O(1).","['Strings', 'Math']",Common
53,1,DSA,Medium,Optimal Solution for 'Spiral Matrix': Return all elements of an m x n matrix in spiral order.,"Use four boundary variables (top, bottom, left, right) and loop, updating boundaries after traversal.","Time Complexity: O(R * C), Space Complexity: O(1) excluding output.",['Arrays'],Common
54,1,DSA,Medium,"Optimal Solution for 'Subsets': Given an integer array of unique elements, return all possible subsets (the power set).",Use backtracking (decision tree: include / exclude element) or bitmasking.,"Time Complexity: O(N * 2^N), Space Complexity: O(N).",['Backtracking'],Common
55,1,DSA,Medium,Optimal Solution for 'Binary Tree Right Side View': Return the values of the nodes you can see ordered from top to bottom from the right side of the tree.,"Use BFS (level order traversal) and collect the last element of each level, or DFS tracking max depth.","Time Complexity: O(N), Space Complexity: O(D) where D is diameter.","['Trees', 'BFS', 'DFS']",Common
56,1,DSA,Medium,Optimal Solution for 'Longest Consecutive Sequence': Find the length of the longest consecutive elements sequence in an unsorted array in O(N) time.,Store all numbers in a hash set. Only count sequence lengths for numbers which represent the start of a sequence.,"Time Complexity: O(N), Space Complexity: O(N).","['Arrays', 'Hash Set']",Common
57,1,DSA,Medium,Optimal Solution for 'Unique Paths': Find the number of unique paths from top-left to bottom-right of an M x N grid.,DP[i][j] = DP[i-1][j] + DP[i][j-1]. Can be optimized to use 1D array.,"Time Complexity: O(M * N), Space Complexity: O(N).",['Dynamic Programming'],Common
58,1,DSA,Easy,Optimal Solution for 'Single Number': Find the single element in an array where every other element appears twice.,"XOR all elements in the array. Since X ^ X = 0 and X ^ 0 = X, the final result is the single number.","Time Complexity: O(N), Space Complexity: O(1).",['Bit Manipulation'],Common
59,1,DSA,Medium,Optimal Solution for 'LRU Cache': Design a Least Recently Used (LRU) Cache data structure.,Use a Hash Map paired with a Doubly Linked List. Map maps keys to Doubly Linked List nodes for O(1) access.,Time Complexity: O(1) for get and put. Space Complexity: O(Capacity).,"['Design', 'Linked List']",Very Common
60,1,DSA,Hard,Optimal Solution for 'Minimum Window Substring': Find the minimum window in s containing all characters of t in O(N) time.,Use sliding window with two pointers. Expand right pointer to find valid window; shrink left to minimize.,"Time Complexity: O(N), Space Complexity: O(K) for character map.","['Strings', 'Sliding Window']",Common
61,1,DSA,Hard,Optimal Solution for 'Serialize and Deserialize Binary Tree': Design an algorithm to serialize and deserialize a binary tree.,Use preorder traversal (DFS) or level-order (BFS) with delimiters like '#' for null nodes.,"Time Complexity: O(N), Space Complexity: O(N).","['Trees', 'Design']",Common
62,1,DSA,Hard,"Optimal Solution for 'Trapping Rain Water': Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap.","Use two pointers from left and right, tracking leftMax and rightMax to compute trapped water.","Time Complexity: O(N), Space Complexity: O(1).","['Two Pointers', 'Stack']",Very Common
63,1,DSA,Hard,Optimal Solution for 'Find Median from Data Stream': Design a data structure that supports adding numbers and finding the median of the stream.,"Maintain a max-heap for the lower half and a min-heap for the upper half, keeping heap sizes balanced.","Add: O(log N), Find Median: O(1). Space Complexity: O(N).","['Design', 'Heap']",Common
64,1,DSA,Hard,Optimal Solution for 'Word Ladder': Find the length of the shortest transformation sequence from beginWord to endWord.,Use BFS on a graph where nodes are words and edges represent 1-character difference.,Time Complexity: O(N * L^2) where L is word length and N is dictionary size. Space: O(N).,"['Graphs', 'BFS']",Common
65,1,DSA,Hard,"Optimal Solution for 'Basic Calculator': Implement a basic calculator to evaluate a simple expression string containing brackets, addition, and subtraction.","Use a stack to push current result and sign when encountering an opening bracket, and pop on closing.","Time Complexity: O(N), Space Complexity: O(N).","['Stack', 'Strings']",Common
66,1,DSA,Hard,Optimal Solution for 'Maximum Profit in Job Scheduling': Find the maximum profit you can achieve by scheduling non-overlapping jobs.,Sort jobs by end time. Use Dynamic Programming with Binary Search (bisect) to find last non-overlapping job.,Time Complexity: O(N log N) due to sorting & binary search. Space: O(N).,"['Dynamic Programming', 'Binary Search']",Common
67,1,DSA,Hard,Optimal Solution for 'Merge k Sorted Lists': Merge K sorted linked lists and return it as one sorted list.,"Use a min-heap (Priority Queue) storing the head nodes of all lists, popping the smallest and inserting its next.",Time Complexity: O(N log K) where N is total nodes. Space Complexity: O(K).,"['Linked List', 'Heap']",Very Common
68,1,DSA,Hard,Optimal Solution for 'Largest Rectangle in Histogram': Find the area of the largest rectangle in the histogram.,"Use a monotonic increasing stack to store indices, calculating rectangle area when popping elements.","Time Complexity: O(N), Space Complexity: O(N).",['Stack'],Common
69,1,DSA,Hard,Optimal Solution for 'Edit Distance': Find the minimum number of operations required to convert word1 to word2.,"Use 2D Dynamic Programming. Operations: Insert, Delete, Replace. DP[i][j] represents edits for word1[0...i] and word2[0...j].","Time Complexity: O(M * N), Space Complexity: O(M * N) or O(N).",['Dynamic Programming'],Common
70,1,DSA,Medium,Optimal Solution for 'Minimum Path Sum': Find a path from top-left to bottom-right of a grid which minimizes the sum of all numbers along its path.,"DP[i][j] = grid[i][j] + min(DP[i-1][j], DP[i][j-1]) (in-place modification).","Time Complexity: O(R * C), Space Complexity: O(1).",['Dynamic Programming'],Common
71,1,DSA,Medium,Optimal Solution for 'House Robber': Determine the maximum amount of money you can rob tonight without alerting the police.,"DP[i] = max(DP[i-1], DP[i-2] + house[i]). Can be optimized using two variables.","Time Complexity: O(N), Space Complexity: O(1).",['Dynamic Programming'],Very Common
72,1,DSA,Medium,Optimal Solution for 'Kth Largest Element in an Array': Find the kth largest element in an unsorted array.,"Use a min-heap of size K, or use Quickselect algorithm.","Time Complexity: O(N log K) with min-heap, or O(N) average with Quickselect. Space: O(K).","['Heap', 'Divid and Conquer']",Common
73,1,DSA,Medium,"Optimal Solution for 'Daily Temperatures': Given an array of temperatures, return an array answers where answers[i] is the number of days you have to wait for a warmer temp.",Use a monotonic decreasing stack to store indices. Pop when finding a warmer temperature.,"Time Complexity: O(N), Space Complexity: O(N).",['Stack'],Common
74,1,DSA,Medium,Optimal Solution for 'Subarray Sum Equals K': Find the total number of continuous subarrays whose sum equals to K.,Use a prefix sum hash map that stores the frequency of all prefix sums observed so far.,"Time Complexity: O(N), Space Complexity: O(N).","['Arrays', 'Hash Map']",Common
75,1,DSA,Medium,"Optimal Solution for 'Decode String': Given an encoded string, return its decoded string (e.g. 3[a]2[bc] -> aaabcbc).",Use two stacks: one for count multipliers and one for current string buffers.,"Time Complexity: O(N), Space Complexity: O(N).","['Stack', 'Strings']",Common
76,1,DSA,Medium,"Optimal Solution for 'Top K Frequent Elements': Given an integer array nums and an integer k, return the k most frequent elements.",Count frequencies with a hash map. Use bucket sort or a min-heap of size K.,"Time Complexity: O(N) with bucket sort, Space Complexity: O(N).","['Hash Map', 'Heap']",Common
77,1,DSA,Medium,Optimal Solution for 'Letter Combinations of a Phone Number': Return all possible letter combinations that the number could represent from a phone keypad.,Use backtracking to recursively append letters corresponding to each digit.,"Time Complexity: O(4^N), Space Complexity: O(N) recursion stack.","['Backtracking', 'Strings']",Common
78,1,DSA,Medium,Optimal Solution for 'Generate Parentheses': Generate all combinations of well-formed parentheses given n pairs.,"Use backtracking, tracking open and close bracket counts. Add open if open < n; add close if close < open.","Time Complexity: O(4^N / sqrt(N)), Space: O(N).",['Backtracking'],Common
79,1,DSA,Medium,Optimal Solution for 'Longest Common Subsequence': Find the length of the longest common subsequence between two strings.,"Use 2D Dynamic Programming table. If s1[i] == s2[j], DP[i][j] = 1 + DP[i-1][j-1]; else max(DP[i-1][j], DP[i][j-1]).","Time Complexity: O(M * N), Space Complexity: O(M * N).",['Dynamic Programming'],Common
80,1,DSA,Medium,Optimal Solution for 'Word Search': Determine if a word exists in a 2D grid of characters.,"Use backtracking DFS starting from each cell in the grid, marking visited cells in-place.",Time Complexity: O(R * C * 4^L) where L is word length. Space: O(L) call stack.,"['Backtracking', 'Matrix']",Common
81,1,DBMS,Medium,Explain 'ACID Properties': Explain the ACID properties of database transactions.,"ACID stands for Atomicity (all-or-nothing), Consistency (integrity constraints), Isolation (independent concurrency), and Durability (persistence).","Essential for transactional reliability. Implemented via locks, WAL (Write-Ahead Log), and undo/redo logs.","['ACID', 'Transactions']",Very Common
82,1,DBMS,Medium,"Explain 'Database Normalization': What is normalization and describe 1NF, 2NF, 3NF, and BCNF.",Normalization is structuring relational tables to reduce data redundancy and eliminate anomalies.,1NF: Atomic values; 2NF: No partial dependencies; 3NF: No transitive dependencies; BCNF: X must be superkey for X -> Y.,['Normalization'],Very Common
83,1,DBMS,Easy,Explain 'Primary Key vs Unique Key': What is the difference between a primary key and a unique key?,Primary key uniquely identifies a row and cannot be null. Unique key also ensures uniqueness but allows one null value.,"Only one Primary key per table. Multiple unique keys are allowed. Under the hood, both create B-tree indexes.","['Primary Key', 'Constraints']",Common
84,1,DBMS,Medium,Explain 'Indexes: Clustered vs Non-Clustered': Explain clustered and non-clustered indexes.,Clustered index determines the physical order of data pages (one per table). Non-clustered index is a separate structure mapping keys to row addresses.,Clustered index leaf node contains actual data. Non-clustered contains pointer. Clustered is faster for range queries.,['Indexing'],Very Common
85,1,DBMS,Medium,Explain 'B-Tree vs Hash Indexes': When do you use a B-Tree index versus a Hash index?,"B-Tree supports range and sorting queries (<, >, BETWEEN). Hash index only supports equality checks (=) in O(1) time.",B-Tree keeps data sorted in leaf nodes. Hash index uses hashing functions which are faster but don't support ranges.,"['Indexing', 'Hash Map']",Common
86,1,DBMS,Hard,Explain 'Database Sharding vs Partitioning': What is the difference between database sharding and partitioning?,Partitioning splits a table within a single database instance. Sharding splits the dataset across multiple independent database nodes.,Partitioning can be horizontal or vertical. Sharding scales write throughput horizontally by distributing load across servers.,"['Sharding', 'Scalability']",Very Common
87,1,DBMS,Medium,Explain 'Replication Models': Compare Master-Slave and Multi-Master database replication.,"Master-Slave: All writes go to Master, replicated to Slaves for reads. Multi-Master: Writes go to any node, resolved conflict-free.",Master-Slave scales reads but has master bottleneck. Multi-Master has complex write conflict resolution.,"['Replication', 'System Design']",Common
88,1,DBMS,Medium,Explain 'CAP Theorem': Explain the CAP Theorem and its application to databases.,"A distributed system can guarantee at most two out of three: Consistency, Availability, and Partition Tolerance.","In practice, network partitions (P) are inevitable, so systems must choose between Consistency (C) or Availability (A).","['CAP Theorem', 'Distributed Systems']",Very Common
89,1,DBMS,Medium,Explain 'NoSQL vs SQL': Compare SQL and NoSQL databases.,"SQL: Relational, structured schema, scales vertically, ACID compliant. NoSQL: Non-relational, dynamic schema, scales horizontally, eventual consistency.","Use SQL for structured transaction-heavy data. Use NoSQL for unstructured, high-write, and scalable datasets.","['NoSQL', 'SQL']",Very Common
90,1,DBMS,Hard,Explain 'Database Isolation Levels': Explain the four ANSI SQL transaction isolation levels.,"Read Uncommitted, Read Committed, Repeatable Read, and Serializable.",Read Uncommitted allows dirty reads. Read Committed prevents dirty reads. Repeatable Read prevents non-repeatable. Serializable prevents phantom reads.,"['Transactions', 'Concurrency']",Very Common
91,1,DBMS,Medium,"Explain 'Concurrency Anomalies': Explain Dirty Reads, Non-Repeatable Reads, and Phantom Reads.","Dirty Read: Reading uncommitted data. Non-Repeatable: Reading same row twice, getting different data. Phantom: Querying rows twice, getting new rows.",These are concurrency anomalies that occur when isolation levels are lower than Serializable.,"['Concurrency', 'Transactions']",Common
92,1,DBMS,Medium,Explain 'Optimistic vs Pessimistic Locking': When would you choose Optimistic Locking over Pessimistic Locking?,"Optimistic: Assume no conflict, check version column on write. Pessimistic: Lock rows using SELECT FOR UPDATE.","Optimistic is best for high-read, low-write scenarios. Pessimistic is best for high-contention, finance transactions.","['Locking', 'Concurrency']",Very Common
93,1,DBMS,Medium,Explain 'Shared vs Exclusive Locks': Explain Shared (S) and Exclusive (X) locks.,"Shared Lock: Multiple transactions can read. Exclusive Lock: Only one transaction can write, blocks all others.",Read locks are shared. Write locks are exclusive. An exclusive lock conflicts with both shared and exclusive.,['Locking'],Common
94,1,DBMS,Medium,Explain 'Explain Plan': What is an EXPLAIN PLAN and how does it help query optimization?,EXPLAIN PLAN shows the execution pathway selected by the query optimizer (e.g. Sequential Scan vs Index Scan).,"Helps identify missing indexes, table scans, sorting overhead, and join performance bottlenecks.",['Query Optimization'],Common
95,1,DBMS,Medium,Explain 'Connection Pooling': Why do databases use connection pooling?,Reusing active database connections to avoid the heavy cost of repeatedly creating and destroying TCP sockets.,"Frameworks like HikariCP manage a pool of active connections, yielding significant response latency gains.",['Performance'],Common
96,1,DBMS,Medium,Explain 'Write-Ahead Logging (WAL)': What is Write-Ahead Logging (WAL) in databases?,WAL ensures that changes are written to a append-only log file on disk before updating the actual database pages.,"Guarantees durability (D in ACID) and crash recovery, as the database can replay log transactions on reboot.","['Recovery', 'ACID']",Common
97,1,DBMS,Medium,Explain 'Foreign Keys Performance': How do foreign key constraints affect write performance?,"Foreign keys require checking referential integrity on every insert/update, causing implicit read overhead on referenced tables.","To optimize, indexes should always be added to foreign key columns, which speeds up checks and joins.","['Performance', 'Constraints']",Common
98,1,DBMS,Medium,Explain 'View vs Materialized View': Explain the difference between a View and a Materialized View.,View: A virtual table representing a query; executed on the fly. Materialized View: Query result physically cached on disk.,Materialized Views speed up expensive aggregation queries but require refresh strategies (manual or trigger-based).,['Database Objects'],Common
99,1,DBMS,Medium,Explain 'Redo vs Undo Logs': What is the difference between Redo and Undo logs?,Redo: Replays committed transactions for durability. Undo: Reverts uncommitted changes for transaction rollback.,"Redo logs write forward. Undo logs write backward, facilitating MVCC (Multi-Version Concurrency Control).","['Recovery', 'Transactions']",Common
